Year,Win,Lose
1898,12,4
1899,8,4
1900,1,3
1902,5,2
1903,10,4
1904,12,2
1905,9,1
1906,7,5
1907,5,6
1908,11,1
1909,11,1
1910,7,2
1911,7,5
1912,13,7
1913,10,4
1914,6,10
1915,9,13
1916,15,11
1917,13,7
1918,7,12
1919,17,10
1920,4,13
1921,8,10
1922,4,11
1923,12,5
1924,14,2
1925,10,7
1926,11,6
1927,5,12
1928,9,8
1929,9,15
1930,4,13
1931,9,9
1932,17,3
1933,8,12
1934,12,7
1935,12,8
1936,13,7
1937,12,8
1938,16,7
1939,13,7
1940,10,10
1941,6,14
1942,8,9
1943,15,6
1944,15,5
1945,16,5
1946,7,13
1947,10,10
1948,14,7
1949,22,4
1950,6,16
1951,8,14
1952,10,12
1953,11,11
1954,10,12
1955,16,6
1956,14,8
1957,9,13
1958,11,11
1959,25,3
1960,27,1
1961,26,2
1962,20,4
1963,16,8
1964,12,12
1965,11,13
1966,13,11
1967,21,8
1968,17,7
1969,17,7
1970,20,6
1971,18,6
1972,14,10
1973,9,15
1974,14,14
1975,6,20
1976,9,18
1977,16,11
1978,19,12
1979,21,8
1980,14,13
1981,21,10
1982,20,10
1983,15,14
1984,20,10
1985,19,14
1986,20,13
1987,20,13
1988,19,15
1989,17,13
1990,27,4
1991,26,6
1992,15,13
1993,13,16
1994,6,22
1995,10,17
1996,10,17
1997,8,22
1998,27,9
1999,22,7
2000,20,11
2001,24,8
2002,17,15
2003,14,16
2004,20,12
2005,26,6
2006,34,4
2007,24,13
2008,22,11
2009,29,8
2010,34,3
2011,31,8
2012,29,8
2013,25,10
2014,24,11
2015,21,14
2016,17,15
