Year,Win,Lose,Tie
1890,1,3,0
1891,2,2,0
1892,5,3,0
1893,4,5,0
1894,6,5,0
1895,4,4,2
1896,5,5,1
1897,1,7,1
1898,3,5,0
1899,9,0,1
1900,8,1,1
1901,5,3,1
1902,6,2,2
1903,8,3,0
1904,6,5,0
1905,8,2,2
1906,8,1,0
1907,7,2,1
1908,6,4,0
1909,7,3,0
1910,6,1,3
1911,5,3,2
1912,6,3,0
1913,4,2,1
1914,5,2,0
1915,5,1,1
1916,7,0,0
1917,8,0,1
1918,3,3,0
1919,6,1,0
1920,7,1,0
1921,5,2,0
1922,3,4,0
1923,3,4,1
1924,2,3,3
1925,4,3,1
1926,7,1,0
1927,4,4,0
1928,5,2,1
1929,4,3,1
1930,5,2,1
1931,6,3,0
1932,4,1,3
1933,7,1,0
1934,7,1,0
1935,7,1,0
1936,5,3,0
1937,6,2,0
1938,4,3,1
1939,6,2,0
1940,4,4,0
1941,6,1,1
1942,9,1,0
1943,3,6,0
1944,9,0,0
1945,7,2,0
1946,4,3,2
1947,2,6,1
1948,6,3,0
1949,7,1,2
1950,6,3,0
1951,4,3,2
1952,6,3,0
1953,6,3,0
1954,10,0,0
1955,7,2,0
1956,6,3,0
1957,9,1,0
1958,6,1,2
1959,3,5,1
1960,7,2,0
1961,8,0,1
1962,6,3,0
1963,5,3,1
1964,7,2,0
1965,7,2,0
1966,4,5,0
1967,6,3,0
1968,10,0,0
1969,8,1,0
1970,9,1,0
1971,6,4,0
1972,9,2,0
1973,10,0,1
1974,10,2,0
1975,11,1,0
1976,9,2,1
1977,9,3,0
1978,7,4,1
1979,11,1,0
1980,9,3,0
1981,9,3,0
1982,9,3,0
1983,9,3,0
1984,9,3,0
1985,9,3,0
1986,10,3,0
1987,6,4,1
1988,4,6,1
1989,8,4,0
1990,7,4,1
1991,8,4,0
1992,8,3,1
1993,10,1,1
1994,9,4,0
1995,11,2,0
1996,11,1,0
1997,10,3,0
1998,11,1,0
1999,6,6,0
2000,8,4,0
2001,7,5,0
2002,14,0,0
2003,11,2,0
2004,8,4,0
2005,10,2,0
2006,12,1,0
2007,11,2,0
2008,10,3,0
2009,11,2,0
2010,12,1,0
2011,6,7,0
2012,12,0,0
2013,12,2,0
2014,14,1,0
2015,12,1,0
2016,11,2,0
2017,12,2,0
2018,13,1,0
