Year,Win,Lose,Tie
1964,2,8,0
1965,4,6,0
1966,9,7,0
1967,10,10,0
1968,9,13,2
1969,11,18,0
1970,19,7,1
1971,20,9,0
1972,24,5,0
1973,18,11,1
1974,16,13,2
1975,7,22,1
1976,18,11,1
1977,17,20,1
1978,16,18,1
1979,25,13,2
1980,25,10,3
1981,24,12,3
1982,16,17,1
1983,26,9,5
1984,30,10,1
1985,19,20,2
1986,23,19,1
1987,19,23,1
1988,10,24,6
1989,9,26,5
1990,11,24,5
1991,11,25,4
1992,12,21,5
1993,5,30,2
1994,7,23,5
1995,7,29,2
1996,10,19,5
1997,12,25,2
1998,27,13,2
1999,21,16,4
2000,13,19,4
2001,17,18,2
2002,20,16,0
2003,25,13,5
2004,26,16,0
2005,27,11,4
2006,15,19,5
2007,15,17,5
2008,12,25,4
2009,23,15,4
2010,15,18,4
2011,15,18,6
2012,15,18,4
2013,16,17,7
2014,18,14,5
2015,13,18,3
2016,14,18,4
2017,21,12,6
