Year,Win,Lose
1966,3,4
1967,5,3
1968,5,1
1969,8,2
1970,7,0
1971,4,2
1972,10,4
1973,15,1
1974,18,2
1975,19,5
1976,26,6
1977,21,7
1978,23,8
1979,19,11
1980,16,18
1981,17,15
1982,20,7
1983,23,5
1984,22,7
1985,28,3
1986,23,7
1987,26,5
1988,25,5
1989,24,6
1990,18,12
1991,11,17
1992,15,13
1993,28,4
1994,14,14
1995,17,13
1996,21,13
1997,12,16
1998,15,12
1999,17,12
2000,13,15
2001,22,11
2002,14,15
2003,22,10
2004,21,10
2005,30,5
2006,29,3
2007,28,4
2008,22,9
2009,29,6
2010,31,5
2011,24,10
2012,25,7
2013,18,13
2014,17,18
2015,24,11
2016,26,8
